_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
小,3,1,114,4,5,Little,Small,しょう,,ちい.さい,こ-,2,Small,しょう,,!ちい,Small,お-,!こ,さ-,,,,,,,,^Little,,,,,,,,,,,,!お,,,,,,,,,,,,,,,,,,,,,,,,
丁,2,3,1312,1,1,Street,Ward,ちょう,てい,ひのと,,2,Street,ちょう,^てい,,Street,,,,,,Town,"Counter For Guns, Tools, Leaves Or Cakes Of Something",Even Number,4th Calendar Sign,ちん,,,,,,,,,,,,,,,,,とう,ち,,,,,,,,,,,,,,,,,,,
了,2,8,792,2,2,Complete,Finish,りょう,,,,2,Finish,りょう,,,Barb,,,,,,,,,,,^Complete,,,,,,,,,,,^End,,,,,,,,,,,,,,,,,,,,,,,,,
又,2,8,1874,1,1,Or Again,Furthermore,ゆう,,また,また-,2,Again,,,また,Stool,また.の-,,,,,On The Other Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丸,3,2,542,2,2,Round,Full (month),がん,,まる,まる.める,2,Circle,!がん,,まる,Nine,まる.い,,,,,Perfection,-ship,Pills,Make Round,,^Circular,Drop,,,,,,,,,,^Round,,,,,,,Roll Up,Curl Up,Seduce,Explain Away,,,,,,,,,,,,,,,
才,3,2,1497,2,3,Genius,Years Old,さい,,,,2,Genius,さい,,,Cross,,,,,,Cubic Shaku,,,,,,Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中,4,1,11,4,5,In,Inside,ちゅう,,なか,うち,2,Middle,ちゅう,,!なか,Middle,あた.る,,,,,Middle,Mean,Center,,,^In,,,,,,,,,,,^Inside,,,,^Center,,,,,,,,,,,,,,,,,,,,,
五,4,1,31,4,5,Five,,ご,,いつ,いつ.つ,2,Five,ご,,!いつ,Five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六,4,1,93,4,5,Six,,ろく,りく,む,む.つ,2,Six,ろく,,!む,Lid,むっ.つ,,むい,,,,,,,,,Fins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
円,4,1,69,4,5,Circle,Yen,えん,,まる.い,まる,2,Yen,えん,,!まる,Lid,まど,,まど.か,まろ.やか,,Round,,,,,^Round,Head,,,,,,,,,,^Circle,,,,,,,,,,,,,,,,,,,,,,,,,
