_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
苔,8,9,,,,Moss,Lichen,たい,,こけ,こけら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黛,16,9,2254,1,1,Blackened Eyebrows,,たい,,まゆずみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鯛,19,9,2446,1,1,Sea Bream,Red Snapper,ちょう,,たい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醍,16,9,2303,,,Whey,Good Buddhist Teaching,だい,たい,,,,,,,,,,,,,,,,,,てい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鷹,24,9,1676,1,1,Hawk,,よう,おう,たか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瀧,19,10,,,,Waterfall,Rapids,ろう,そう,たき,,,,,,,,,,,,,Cascade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啄,10,9,2463,1,1,Peck,Pick Up,たく,つく,ついば.む,つつ.く,,,,,,,,,,,,,,,,とく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托,6,9,,,,Requesting,Entrusting With,たく,,たく.する,たの.む,,,,,,,,,,,,Pretend,Hint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琢,11,9,2022,1,1,Polish,,たく,,みが.く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鐸,21,,,,,Large Hand Bell,,たく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茸,9,9,,,,Mushroom,,じょう,にゅ,きのこ,たけ,,,,,,,しげ.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凧,5,9,2117,,,Kite,(kokuji),,,いかのぼり,たこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛸,13,,,,,Octopus,,そう,しょう,たこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只,5,9,2288,1,1,Only,Free,し,,ただ,,,,,,,,,,,,,In Addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叩,5,,2316,,,Strike,Beat,こう,,たた.く,はた.く,,,,,,,すぎ,,,,,Kow Tow,Hit,Thrash,Criticize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,7,8,2404,1,1,However,But,たん,,ただ.し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辰,7,9,1600,1,1,Sign Of The Dragon,7-9am,しん,じん,たつ,,,,,,,,,,,,,Fifth Sign Of Chinese Zodiac,Shin Dragon Radical (no. 161),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巽,12,9,2061,1,1,Southeast,,そん,,たつみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竪,14,9,2370,,,Length,Height,じゅ,,たて,た.てる,,,,,,,こども,,,,,Warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辿,6,9,,,,Follow (road),Pursue,てん,,たど.る,たどり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
狸,10,,2498,,,Tanuki,Raccoon,り,らい,たぬき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鱈,22,,,,,Codfish,(kokuji),せつ,,たら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樽,16,9,1981,,,Barrel,Cask,そん,,たる,,,,,,,,,,,,,Keg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坦,8,9,,,,Level,Wide,たん,,たいら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歎,14,9,,,,Grief,Lamentation,たん,,なげ.く,なげ.き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湛,12,9,2183,,,Fill,Wear (a Smile),たん,ちん,しず.む,たた.える,,,,,,,,,,,,Clear,Pure,Dense,Deep,じん,,,,,,,,,,,,,,,,,せん,,,,,,,,,,,,,,,,,,,,
箪,15,,,,,Bamboo Rice Basket,,たん,,はこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綻,14,8,,,,Be Rent,Ripped,たん,,ほころ.びる,,,,,,,,,,,,,Unravel,Run,Begin To Open,Smile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
耽,10,9,,,,Addicted,Absorbed In,たん,,ふけ.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛋,11,,2266,,,Barbarian,Egg,たん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
檀,17,9,2291,1,1,Cedar,Sandlewood,だん,たん,まゆみ,,,,,,,,,,,,,Spindle Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弛,6,9,2497,,,Slacken,Relax,ち,し,たる.む,たる.める,,,,,,,たゆ.む,,ゆる.む,ゆる.み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蜘,14,,,,,Spider,,ち,,くも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馳,13,9,,,,Run,Gallop,ち,じ,は.せる,,,,,,,,,,,,,Sail,Drive (a Wagon),Win (fame),Despatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筑,12,9,1530,,,An Ancient Musical Instrument,,ちく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逐,10,8,2230,1,1,Pursue,Drive Away,ちく,,,,,,,,,,,,,,,Chase,Accomplish,Attain,Commit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嫡,14,8,2130,1,1,Legitimate Wife,Direct Descent (non-bastard),ちゃく,てき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衷,10,8,2229,1,1,Inmost,Heart,ちゅう,,,,,,,,,,,,,,,Mind,Inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
註,12,9,,,,Notes,Comment,ちゅう,,,,,,,,,,,,,,,Annotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樗,15,,,,,Japanese Bead Tree,,ちょ,,おおち,おうち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瀦,18,,,,,Pool,Puddle,ちょ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猪,11,9,1684,1,1,Boar,,ちょ,,い,いのしし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苧,8,,,,,Hemp,Flax,ちょ,,お,からんし,,,,,,,からむし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凋,10,,,,,Wither,Droop,ちょう,,しぼ.む,,,,,,,,,,,,,Lame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喋,12,9,2403,,,Talk,Chat,ちょう,とう,しゃべ.る,ついば.む,,,,,,,,,,,,Chatter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寵,19,9,,,,Affection,Love,ちょう,,めぐ.み,めぐ.む,,,,,,,,,,,,Patronage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帖,8,9,2208,,,Quire (of Paper),Bundle Of Seaweed,ちょう,じょう,かきもの,,,,,,,,,,,,,Counter For Screens,Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暢,14,9,2144,1,1,Stretch,,ちょう,,のび.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牒,13,9,,,,Label,Genealogy,ちょう,じょう,ふだ,,,,,,,,,,,,,Circular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脹,12,9,,1,1,Dilate,Distend,ちょう,,は.れる,ふく.らむ,,,,,,,ふく.れる,,,,,Bulge,Fill Out,Swell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
諜,16,,2445,,,Spy Out,Reconnoiter,ちょう,,ちょう.ずる,うかが.う,,,,,,,しめ.す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銚,14,,2102,,,Sake Bottle,,ちょう,よう,なべ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勅,9,8,2157,1,1,Imperial Order,,ちょく,,いまし.める,みことのり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捗,10,8,,,,Make Progress,,ちょく,ほ,はかど.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朕,10,8,,1,1,Majestic Plural,Imperial We,ちん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
槌,13,9,2462,,,Hammer,Mallet,つい,,つち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鎚,17,,,,,Hammer,Mallet,つい,たい,つち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栂,9,,,,,Hemlock,(kokuji),,,つが,とが,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
掴,11,,,,,Catch,Seize,かく,,つか.む,つか.まえる,,,,,,,つか.まる,,,,,Grasp,Hold,Arrest,Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
槻,15,9,2008,1,1,Zelkova Tree,,き,,つき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佃,7,9,2193,,,Cultivated Rice Field,,てん,でん,つくだ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柘,9,9,,,,Wild Mulberry,,しゃ,じゃく,そ,つげ,,,,,,,やまぐわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辻,5,9,1614,,,Crossing,Crossroad,,,つじ,,,,,,,,,,,,,Street Corners,(kokuji),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔦,14,9,2215,1,1,Vine,Ivy,ちょう,,つた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綴,14,9,2149,,,Compose,Spell,てい,てつ,と.じる,つづ.る,,,,,,,つづり,,すみ.やか,,,Write,Bind (books),,,てち,,,,,,,,,,,,,,,,,げつ,,,,,,,,,,,,,,,,,,,,
鍔,17,,,,,Sword Guard,Kettle Brim,がく,,つば,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椿,13,9,1829,1,1,Camellia,,ちん,ちゅん,つばき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潰,15,8,,,,Crush,Smash,かい,え,つぶ.す,つぶ.れる,,,,,,,つい.える,,,,,Break,Dissipate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壷,11,,2197,,,Jar,Pot,こ,,つぼ,,,,,,,,,,,,,Hinge Knuckle,One's Aim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嬬,17,,,,,Mistress,Weak,じゅ,,よわ.い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紬,11,9,,1,1,Pongee (a Knotted Silk Cloth),,ちゅう,,つむぎ,つむ.ぐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吊,6,,2475,,,Suspend,Hang,ちょう,,つ.る,つる.す,,,,,,,,,,,,Wear (sword),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
剃,9,,2411,,,Shave,,てい,,まい,そ.る,,,,,,,す.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悌,10,9,2474,1,1,Serving Our Elders,,てい,だい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挺,10,9,2189,,,"Counter For Guns, Inksticks, Palanquins, Rickshaws",Bravely Volunteer,ちょう,てい,ぬ.く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梯,11,9,2218,,,Ladder,Stairs,てい,たい,はしご,,,,,,,,,,,,,Insatiable Drinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汀,5,9,,1,,Water's Edge,Shore,てい,,みぎわ,なぎさ,,,,,,,,,,,,Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
碇,13,,,,,Anchor,Grapnel,てい,,いかり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
禎,13,9,2083,1,1,Happiness,Blessed,てい,,さいわ.い,,,,,,,,,,,,,Good Fortune,Auspicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
諦,16,8,2457,,,Truth,Clarity,てい,たい,あきら.める,つまびらか,,,,,,,まこと,,,,,Abandon,Give Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蹄,16,9,2469,,,Hoof,,てい,,ひづめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逓,10,8,1957,1,1,Relay,In Turn,てい,,かわ.る,たがいに,,,,,,,,,,,,Sending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鄭,15,9,1732,,,An Ancient Chinese Province,,てい,じょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
釘,10,9,2496,,,Nail,Tack,てい,ちょう,くぎ,,,,,,,,,,,,,Peg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼎,13,9,,,,Three Legged Kettle,,てい,,かなえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
擢,17,9,,,,Excel In,Surpass,てき,たく,ぬ.く,ぬき.んでる,,,,,,,,,,,,Pull Out,Select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鏑,19,,,,,Arrowhead,,てき,,かぶら,かぶらや,,,,,,,やじり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溺,13,8,,,,Drown,Indulge,でき,じょう,いばり,おぼ.れる,,,,,,,,,,,,,,,,にょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轍,19,,2484,,,Rut,Wheel Track,てつ,,わだちい,わだち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填,13,,,,,Fill In,,てん,ちん,は.まる,は.める,,,,,,,うず.める,,しず.める,ふさ.ぐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纏,21,9,,,,Wear,Wrap,てん,でん,まつ.わる,まと.う,,,,,,,まと.める,,まと.まる,まと.い,,Tie,Follow Around,Collect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甜,11,,,,,Sweet,,てん,,うま.い,あま.い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
顛,19,,,,,Overturn,Summit,てん,,いただき,たお.れる,,,,,,,,,,,,Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澱,16,,,,,Sediment,Grounds,でん,てん,おり,ど.ろ,,,,,,,よど.み,,よど.む,,,Dregs,Stagnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兎,8,9,,,,Rabbit,Hare,と,つ,うさぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堵,11,9,,,,Fence,Railing,と,,かき,,,,,,,,,,,,,Enclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妬,8,8,,,,Jealous,Envy,と,つ,ねた.む,そね.む,,,,,,,つも.る,,ふさ.ぐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屠,11,,,,,Slaughter,Butcher,と,ちょ,ほふ.る,,,,,,,,,,,,,Slay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杜,7,9,2062,1,1,Woods,Grove,と,とう,もり,ふさ.ぐ,,,,,,,やまなし,,,,,,,,,ず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菟,11,,,,,Dodder (plant),,と,つ,うさぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鍍,17,,,,,Plating,Gilding,と,,めっき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
砥,10,9,,,,Whetstone,Grindstone,し,てい,と,といし,,,,,,,と.ぐ,,みが.く,,,,,,,きい,,,,,,,,,,,,,,,,,ち,,,,,,,,,,,,,,,,,,,,
砺,10,,,,,Whetstone,Polish,れい,,あらと,みが.く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塘,13,,,,,Dike,Embankment,とう,,つつみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
套,10,9,,,,Accumulate,Big And Long,とう,,かさ.ねる,,,,,,,,,,,,,Hackneyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宕,8,9,2248,,,Cave,,とう,,すぎる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嶋,14,10,1633,,,Island,,とう,,しま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梼,11,,,,,Block Of Wood,Blockhead,とう,,,,,,,,,,,,,,,Stupid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淘,11,,2410,,,Select,,とう,,よな.げる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涛,10,,,,,Waves,Billows,とう,,なみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
燈,16,10,2456,,,Lamp,Light,とう,,ひ,ほ-,,,,,,,ともしび,,とも.す,あかり,,Counter For Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
痘,12,8,,1,1,Pox,Smallpox,とう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
祷,11,9,,,,Pray,,とう,,いの.る,いの.り,,,,,,,まつ.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
董,12,9,,,,Correct,,とう,,ただ.す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蕩,15,,,,,Melt,Be Charmed,とう,,とろ.かす,とろ.ける,,,,,,,うご.く,,,,,Captivated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
謄,17,8,2295,1,1,Mimeograph,Copy,とう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鐙,20,,,,,Stirrup,,とう,,あぶみ,たかつき,,,,,,,ひともし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
撞,15,9,,,,Thrust,Pierce,どう,とう,つ.く,,,,,,,,,,,,,Stab,Prick,,,しゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萄,11,9,,,,Grape Vine,Wild Grape,どう,とう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鴇,15,,,,,Wild Goose,Madam Of A Brothel,ほう,,とき,のがん,,,,,,,,,,,,Crested Ibis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涜,10,,,,,Defile,Blaspheme,とく,とう,けが.す,けが.れ,,,,,,,みぞ,,,,,Ditch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
禿,7,,,,,Become Bald,Bare,とく,,ちび.る,かむろ,,,,,,,は.げる,,はげ,,,Wear Out,Waste Away,Little Girl Employed At A Brothel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橡,16,,,,,Horse Chestnut,,しょう,ぞう,とち,くぬぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椴,13,,,,,Fir,,たん,だん,むくげ,,,,,,,,,,,,,,,,,とど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳶,14,9,,,,Black Kite,Fireman,えん,,とび,とんび,,,,,,,,,,,,Hook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苫,8,,2028,,,Rush Matting,,せん,,とま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寅,11,9,1975,1,1,Sign Of The Tiger,3-5am,いん,,とら,,,,,,,,,,,,,Third Sign Of Chinese Zodiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酉,7,9,2468,1,1,West,Bird,ゆう,,とり,,,,,,,,,,,,,Sign Of The Bird,5-7pm,Tenth Sign Of Chinese Zodiac,Sake Radical (no. 164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瀞,17,,,,,Pure Water,Clear Water,せい,しょう,とろ,きよ.い,,,,,,,,,,,,Pool In A River,,,,じゅう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噸,16,,,,,Tonnage,(kokuji),とん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惇,11,9,2265,1,1,Sincere,Kind,しゅん,じゅん,あつ.い,,,,,,,,,,,,,Considerate,,,,とん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敦,12,9,1695,1,1,Industry,Kindliness,とん,たい,あつ.い,,,,,,,,,,,,,,,,,だん,,,,,,,,,,,,,,,,,ちょう,,,,,,,,,,,,,,,,,,,,
沌,7,9,,,,Primeval Chaos,,とん,,くら.い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遁,12,9,,,,Flee,Escape,とん,しゅん,のが.れる,,,,,,,,,,,,,Shirk,Evade,Set Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頓,13,8,,,,Suddenly,Immediately,とん,とつ,にわか.に,とん.と,,,,,,,つまず.く,,とみ.に,ぬかずく,,In A Hurry,Arrange,Stay In Place,Bow,,,,,,,,,,,,,,,,,,,,Kowtow,,,,,,,,,,,,,,,,,,
呑,7,,2362,,,Drink,,とん,どん,の.む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乍,5,,,,,Though,Notwithstanding,さ,さく,-なが.ら,たちま.ち,,,,,,,,,,,,While,During,Both,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凪,6,9,,1,1,Lull,Calm,,,なぎ,な.ぐ,,,,,,,,,,,,(kokuji),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
薙,16,9,,,,Mow Down (the Enemy),,てい,ち,な.ぐ,なぎ,,,,,,,か.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘,21,9,1912,,,Open Sea,,たん,だん,なだ,せ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捺,11,9,,1,1,Press,Print,なつ,だつ,さ.す,お.す,,,,,,,,,,,,Affix A Seal,Stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
楢,13,9,2032,,,Oak,,しゅう,ゆう,なら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馴,13,9,,,,Get Used To,Experienced,じゅん,しゅん,な.れる,な.らす,,,,,,,したが.う,,,,,Tamed,,,,くん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畷,13,,,,,Rice Field Ridge Path,,てつ,てい,なわて,,,,,,,,,,,,,,,,,せい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
楠,13,9,1927,1,1,Camphor Tree,,なん,だん,くす,くすのき,,,,,,,,,,,,,,,,ぜん,,,,,,,,,,,,,,,,,ねん,,,,,,,,,,,,,,,,,,,,
汝,6,9,,,,You,Thou,じょ,,なんじ,なれ,,,,,,,い,,うぬ,いまし,し,,,,,,,,しゃ,な,なむち,まし,みまし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
